아이쓰리시스템,38850,하락250,-0.64%,67761
제넥신,6620,하락100,-1.49%,72793
앱클론,15960,상승20,+0.13%,44468
와이씨켐,27050,상승200,+0.74%,376228
원익홀딩스,3530,상승30,+0.86%,54430
유진기업,3525,상승5,+0.14%,60135
다날,3940,하락15,-0.38%,678355
유일로보틱스,27950,상승1000,+3.71%,186973
메드팩토,8050,하락340,-4.05%,181003
국전약품,5410,하락20,-0.37%,50550
티로보틱스,14880,하락220,-1.46%,100382
디이엔티,12040,하락490,-3.91%,177213
에코아이,26700,상승200,+0.75%,9607
넵튠,5640,하락110,-1.91%,34700
에브리봇,21450,하락750,-3.38%,156460
청담글로벌,12740,상승950,+8.06%,5810225
CJ프레시웨이,22000,하락800,-3.51%,48508
선진뷰티사이언스,21300,상승1300,+6.50%,2569089
에이팩트,6120,상승140,+2.34%,838446
네오팜,31550,보합0,0.00%,40941
소룩스,8830,상승50,+0.57%,205180
에이에스텍,45500,상승800,+1.79%,224060
비덴트,3320,보합0,0.00%,0
유비케어,4910,하락170,-3.35%,408636
파워로직스,6980,하락100,-1.41%,145736
케이티알파,5200,하락50,-0.95%,18208
프레스티지바이오로직스,4140,하락10,-0.24%,42860
디알텍,3450,상승40,+1.17%,991873
엠케이전자,11490,보합0,0.00%,23471
엑세스바이오,6970,상승10,+0.14%,66162
솔트룩스,20800,하락550,-2.58%,50870
큐알티,20400,상승200,+0.99%,74320
케이엔솔,19150,하락280,-1.44%,533597
로체시스템즈,16140,상승990,+6.53%,236754
에이비온,10130,하락260,-2.50%,220257
이트론,271,보합0,0.00%,0
코오롱생명과학,21500,하락500,-2.27%,10343
셀리버리,6680,보합0,0.00%,0
인트로메딕,5850,보합0,0.00%,0
넥스트칩,13520,상승190,+1.43%,438159
코난테크놀로지,21300,하락750,-3.40%,21623
알멕,38050,상승100,+0.26%,19366
어보브반도체,13700,상승340,+2.54%,214213
BGF에코머티리얼즈,4500,하락40,-0.88%,116703
비씨엔씨,19000,상승250,+1.33%,33365
티엘비,24600,하락400,-1.60%,104005
해성산업,7380,보합0,0.00%,5735
미래반도체,16590,상승20,+0.12%,20752
동원개발,2630,상승20,+0.77%,38658
새로닉스,19070,하락300,-1.55%,12610
코아시아,8970,상승70,+0.79%,562215
이수앱지스,6630,하락40,-0.60%,41041
휴마시스,1818,하락25,-1.36%,611228
이스트소프트,20250,하락550,-2.64%,133694
사피엔반도체,29350,상승4450,+17.87%,3436044
GRT,3475,상승75,+2.21%,36045
새빗켐,48150,하락850,-1.73%,12877
와이솔,8290,상승50,+0.61%,29950
싸이맥스,21350,상승400,+1.91%,69515
디엔에프,20150,상승170,+0.85%,23386
갤럭시아머니트리,5940,상승50,+0.85%,156510
코나아이,15610,하락180,-1.14%,12806
와이랩,14420,하락2480,-14.67%,3772009
코윈테크,20850,하락250,-1.18%,19761
하이드로리튬,4590,상승110,+2.46%,3012240
